Variable,Region,Lag (months),Mean_Value
SM1_SM1,DES,-24,0.6414996345
SM1_SM1,DES,-25,-0.0203402843666666
SM1_SM1,DES,-26,-0.0259691923666666
SM1_SM1,DES,-27,0.1653270418333333
SM1_SM1,DES,-28,0.5666683065
SM1_SM1,DES,-29,0.501799003
SM1_SM1,DES,-30,0.549957996
DFMC_Foliage,ALL,0,-0.3563827501166667
DFMC_Foliage,ALL,-1,-0.4089120217500001
DFMC_Foliage,ALL,-2,-0.4425675594703703
DFMC_Foliage,ALL,-3,-0.4052876108074074
DFMC_Foliage,ALL,-4,-0.3640264147074074
DFMC_Foliage,ALL,-5,-0.1690436712407407
DFMC_Foliage,ALL,-6,-0.0774419462481481
DFMC_Foliage,ALL,-7,0.0700575785462963
DFMC_Foliage,ALL,-8,0.0054469066277777
DFMC_Foliage,ALL,-9,-0.0066140534907407
DFMC_Foliage,ALL,-10,-0.0135804591499999
DFMC_Foliage,ALL,-11,0.1712021362092593
DFMC_Foliage,ALL,-12,0.2250619193203703
DFMC_Foliage,ALL,-13,0.1989161529407407
DFMC_Foliage,ALL,-14,0.2200334887592593
DFMC_Foliage,ALL,-15,0.3622535360351852
DFMC_Foliage,ALL,-16,0.5923011992074075
DFMC_Foliage,ALL,-17,0.6823825662259259
DFMC_Foliage,ALL,-18,0.5176756892981482
DFMC_Foliage,ALL,-19,0.3414024179981481
DFMC_Foliage,ALL,-20,0.0977068693333333
DFMC_Foliage,ALL,-21,0.0349888831555556
DFMC_Foliage,ALL,-22,0.0966512496981481
DFMC_Foliage,ALL,-23,0.0896009008555555
DFMC_Foliage,ALL,-24,-0.0321605023166666
DFMC_Foliage,ALL,-25,-0.0698797328685184
DFMC_Foliage,ALL,-26,0.0266549238740741
DFMC_Foliage,ALL,-27,0.1211715510925927
DFMC_Foliage,ALL,-28,0.1846986111888889
DFMC_Foliage,ALL,-29,0.1557436920888889
DFMC_Foliage,ALL,-30,0.2517360205203704
LAI_LAI,MED,0,-0.3862843461125
LAI_LAI,MED,-1,-0.07559228326875
LAI_LAI,MED,-2,0.0976215726791667
LAI_LAI,MED,-3,0.2279710631208333
LAI_LAI,MED,-4,0.2113451721416666
LAI_LAI,MED,-5,0.0997947725874999
LAI_LAI,MED,-6,0.2650817202083333
LAI_LAI,MED,-7,0.2657617302791666
LAI_LAI,MED,-8,0.2668418160041667
LAI_LAI,MED,-9,0.16484707875
LAI_LAI,MED,-10,0.1844486420708333
LAI_LAI,MED,-11,0.1711974546375
LAI_LAI,MED,-12,0.163210378925
LAI_LAI,MED,-13,0.1494140677083333
LAI_LAI,MED,-14,0.2383843167666667
